winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
Mark Ryan Winery,Red wine,Red Mountain,United States,Lonely Heart Cabernet Sauvignon,2012,4.3,74,79.98,66.14,62.2835,0,62.5672
Booker,Red wine,Paso Robles,United States,Ripper,2016,4.3,73,79.99,80,51.8999,0.609537,58.399
Aperture,Red wine,Alexander Valley,United States,Cabernet Sauvignon,2017,4.3,73,72.99,80,53.4832,6.00456,41.7873
Li Veli,Red wine,Salento,Italy,MLV Masseria Li Veli,2017,4.3,73,76.99,80,39.0738,25.6172,21.6449
Produttori del Barbaresco,Red wine,Barbaresco,Italy,Barbaresco Riserva Pajé,2015,4.3,72,76.99,59.2067,69.9945,5.98829,80
Prà,Red wine,Amarone della Valpolicella,Italy,Morandina Amarone della Valpolicella,2015,4.3,72,75,80,35.5174,30.5168,34.625
Rudd,Red wine,Oakville,United States,Cabernet Sauvignon Crossroads,2017,4.3,71,79.99,80,50.684,10.1121,49.6801
Walt,Red wine,Oregon,United States,Shea Vineyard Pinot Noir,2017,4.3,65,75.99,19.7348,18.0969,0.936357,60.6833
Monticello Vineyards,Red wine,Napa Valley,United States,Cabernet Sauvignon Reserve Corley,2016,4.3,65,79.95,80,53.4838,5.57712,52.8349
Guarachi,Red wine,Napa Valley,United States,Cabernet Sauvignon,2014,4.3,65,74.69,80,46.115,8.71615,49.2323
Isole e Olena,Red wine,Toscana,Italy,Syrah Toscana Collezione Privata,2016,4.3,62,78.99,47.2824,43.3657,5.29267,43.2659
Mauro Veglio,Red wine,Barolo,Italy,Barolo Castelletto,2016,4.3,58,74.99,60.7643,77.2108,0,80
J. Lohr Vineyards & Wines,Red wine,St. Helena,United States,Carol’s Vineyard Cabernet Sauvignon,2015,4.3,58,72.99,80,47.4291,0,49.0457
Gaja,Red wine,Brunello di Montalcino,Italy,Pieve Santa Restituta Brunello di Montalcino,2016,4.3,57,79.95,45.6137,55.7085,5.73934,60.8727
Antoniolo,Red wine,Gattinara,Italy,Osso San Grato Gattinara,2014,4.3,57,79.99,59.2621,76.7925,7.50219,80
Fattoria le Pupille,Red wine,Maremma Toscana,Italy,Saffredi,2018,4.3,54,74.99,-1,-1,-1,-1
Giulia Negri,Red wine,Barolo,Italy,Serradenari Barolo,2016,4.3,52,72.99,48.9727,76.2224,9.3654,79.3983
Cascina delle Rose,Red wine,Barbaresco,Italy,Barbaresco Tre Stelle,2017,4.3,46,74.99,55.439,67.253,0.43041,80
Lemelson Vineyards,Red wine,Willamette Valley,United States,Stermer Vineyard Pinot Noir,2015,4.3,46,74.99,16.1723,18.2069,0,52.354
Day,Red wine,Russian River Valley,United States,El Diablo Vineyard Zinfandel,2015,4.3,40,75.99,74.7708,33.4988,32.5723,18.9473
Bacio Divino,Red wine,Napa Valley,United States,Janzen Cabernet Sauvignon,2017,4.3,40,79.99,80,46.7085,5.43619,48.5962
Cortonesi (La Mannella),Red wine,Brunello di Montalcino,Italy,La Mannella Brunello di Montalcino,2016,4.3,39,79.99,47.0474,55.3865,1.89746,61.3177
Cliff Lede,Red wine,Stags Leap District,United States,Stags Leap District Cabernet Sauvignon,2018,4.3,37,79.99,80,50.1253,3.99857,50.6451
Goldeneye,Red wine,Anderson Valley,United States,Gowan Creek Pinot Noir,2017,4.3,36,71.39,47.7154,17.7637,5.47551,47.706
Kistler,Red wine,Sonoma Coast,United States,Kistler Vineyard Pinot Noir,2018,4.3,34,74.89,42.9727,15.6215,9.2383,51.8114
Fattoria del Pino,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.3,34,72.99,40.9875,52.2082,4.48384,57.857
Stanton Vineyards,Red wine,Oakville,United States,Cabernet Sauvignon,2010,4.3,32,76.99,80,52.9384,0.205555,52.1431
Pharaoh Moans,Red wine,Paso Robles,United States,Red,2016,4.3,32,79.99,80,56.7329,1.66625,52.132
Linne Calodo,Red wine,Paso Robles,United States,Rising Tides,2016,4.3,31,78,80,52.1921,4.64872,48.8155
Castello di Bossi,Red wine,Toscana,Italy,Girolamo,2015,4.3,31,71.99,48.8801,42.15,9.62716,42.2912
Curvature,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.3,29,73.99,80,47.1598,5.63459,43.5947
Cascina Adelaide,Red wine,Barolo,Italy,Per Elen Barolo Riserva,2013,4.3,29,79.99,61.8715,75.5157,10.0586,80
Castello di Albola,Red wine,Chianti Classico,Italy,Il Solatio Chianti Classico Gran Selezione,2015,4.3,28,79.99,41.0132,51.1896,0.440037,63.4078
Ellman Family Vineyards,Red wine,Napa Valley,United States,Brother's Blend,2016,4.3,27,74.99,80,51.5851,0,60.2743
Barnett,Red wine,Spring Mountain District,United States,Cabernet Sauvignon,2017,4.3,27,79.99,80,50.4745,6.57901,50.9796
Failla,Red wine,Eola-Amity Hills,United States,Seven Springs Vineyards Pinot Noir,2017,4.3,26,77.99,15.9246,16.6567,2.34689,65.628
Failla,Red wine,Sonoma Coast,United States,Occidental Ridge Vineyard Pinot Noir,2018,4.3,26,79.99,42.7689,18.8896,8.02011,54.7734
B.R. Cohn,Red wine,Sonoma Valley,United States,Cabernet Sauvignon Olive Hill Estate Vineyards,2018,4.3,25,79.99,80,48.04,5.54673,41.5402
Tenuta Il Poggione,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2012,4.2,3826,79.95,47.0222,56.0367,5.48307,61.5752
Stags' Leap,Red wine,Napa Valley,United States,Petite Sirah,2016,4.2,2701,75.99,76.7062,73.1151,4.80575,51.9631
Altesino,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2013,4.2,1909,72.99,43.1271,51.85,4.20656,59.8531
Tenuta Il Poggione,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2014,4.2,1839,79.99,47.0222,56.0367,5.48307,61.5752
Biserno,Red wine,Toscana,Italy,Il Pino di Biserno,2014,4.2,1478,79.99,52.804,40.8381,14.4688,40.9587
Gaja,Red wine,Bolgheri,Italy,Ca'Marcanda Magari,2017,4.2,1056,74.99,59.2408,63.2675,6.44448,51.8711
Santadi,Red wine,Carignano del Sulcis,Italy,Terre Brune Superiore Carignano del Sulcis,2015,4.2,945,78.99,79.8197,41.344,28.2879,24.4786
Ricasoli,Red wine,Chianti Classico,Italy,Castello di Brolio Gran Selezione Chianti Classico,2015,4.2,883,77.99,46.4708,43.3225,6.30858,50.3769
Pio Cesare,Red wine,Barbaresco,Italy,Barbaresco,2014,4.2,604,76.99,57.8785,65.5337,3.80274,80
Le Ragnaie,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2013,4.2,583,70,44.1579,55.6322,1.54547,62.8996
Podere Sapaio,Red wine,Bolgheri Superiore,Italy,Sapaio Bolgheri Superiore,2015,4.2,527,74.99,63.8349,69.5134,6.72606,51.7218
Ridolfi,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2013,4.2,373,79.9,42.8398,53.5512,0.872585,60.895
Arnaldo-Caprai,Red wine,Montefalco Sagrantino,Italy,Collepiano Sagrantino di Montefalco,2015,4.2,371,75.99,54.6204,50.5748,6.01919,43.4952
Velenosi,Red wine,Offida,Italy,Ludi,2011,4.2,356,74.99,52.3849,37.4294,13.598,42.8247
Acumen,Red wine,Napa Valley,United States,Mountainside Cabernet Sauvignon,2014,4.2,353,75.99,80,51.6551,3.85139,51.4352
Santi,Red wine,Amarone della Valpolicella,Italy,Amarone della Valpolicella,2012,4.2,335,71.68,80,19.3746,48.1936,20.271
Produttori del Barbaresco,Red wine,Barbaresco,Italy,Barbaresco Riserva Ovello,2014,4.2,287,74.99,60.2579,67.6011,2.46794,80
Tenuta le Colonne,Red wine,Bolgheri Superiore,Italy,Bolgheri Superiore,2015,4.2,250,74.95,62.1543,64.5761,2.42446,56.719
Brovia,Red wine,Barolo,Italy,Barolo Unio,2014,4.2,245,74.99,61.3776,72.2346,0,72.9548
Rombauer Vineyards,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.2,231,70.99,80,48.6481,3.77123,51.0256
Nickel & Nickel,Red wine,Oak Knoll District,United States,Bear Flat Merlot,2014,4.2,230,74.99,64.7821,17.492,15.0046,5.96728
La Spinetta,Red wine,Barbaresco,Italy,Vigneto Bordini Barbaresco,2017,4.2,224,70.99,60.3922,69.1142,0,80
La Spinetta,Red wine,Barbera d'Asti,Italy,Bionzo Barbera d'Asti Superiore,2014,4.2,212,78.99,53.5831,24.3479,7.71032,60.5834
Joseph Phelps,Red wine,Sonoma Coast,United States,Pastorale Vineyard Pinot Noir,2013,4.2,165,75.97,40.3025,18.7775,4.87488,52.7588
Gianni Brunelli,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.2,165,74.99,42.0145,54.8605,2.40148,61.3433
Piancornello,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2007,4.2,164,80,44.1083,51.9435,3.66334,62.6124
Batasiolo,Red wine,Barolo,Italy,Barolo Cerequio,2009,4.2,161,79.99,62.3806,73.8526,4.4677,80
Buehler,Red wine,Napa Valley,United States,Cabernet Sauvignon Estate,2014,4.2,160,76.99,80,50.8768,8.43322,51.5164
Montevetrano,Red wine,Colli di Salerno,Italy,Colli di Salerno Rosso,2012,4.2,159,74.99,78.8349,42.9305,23.2603,26.5966
B. Leighton,Red wine,Yakima Valley,United States,Gratitude (Olsen Brothers Vineyard),2016,4.2,150,76.99,62.2654,51.5362,12.8569,58.736
Oddero,Red wine,Barolo,Italy,Barolo Villero,2013,4.2,149,72,55.7057,74.1838,0,78.776
Mount Eden Vineyards,Red wine,Santa Cruz Mountains,United States,Estate Pinot Noir,2015,4.2,149,79.99,38.105,16.102,5.28881,53.4438
Mauro Veglio,Red wine,Barolo,Italy,Barolo Gattera,2015,4.2,146,74.99,60.8165,67.1581,4.47825,78.5
Kenwood,Red wine,Sonoma County,United States,Artist Series Cabernet Sauvignon,2012,4.2,145,79.99,80,53.2345,0.500692,43.0873
Castell'in Villa,Red wine,Chianti Classico,Italy,Riserva Chianti Classico,2011,4.2,137,71.99,44.3767,57.8508,8.40083,63.8186
Marchesi Fumanelli,Red wine,Amarone della Valpolicella,Italy,Amarone della Valpolicella,2013,4.2,136,77.99,80,21.3551,48.2914,22.3143
Produttori del Barbaresco,Red wine,Barbaresco,Italy,Barbaresco Riserva Muncagota,2015,4.2,135,72,60.5607,72.3669,0,80
Inglenook,Red wine,Rutherford,United States,RC Reserve,2014,4.2,134,74.99,80,51.8527,2.95626,47.9551
Abbona,Red wine,Barolo,Italy,Barolo Terlo Ravera,2013,4.2,128,72.99,60.3412,74.1609,3.69796,77.7853
Zenato,Red wine,Veneto,Italy,Cresasso Corvina Veronese,2013,4.2,123,78.99,63.9553,36.8028,14.6544,20.89
Ca'Viola,Red wine,Barolo,Italy,Barolo Sottocastello di Novello,2013,4.2,120,74.99,59.5967,76.4095,0,80
Aldo Rainoldi,Red wine,Sforzato della Valtellina,Italy,Sfursat di Valtellina,2016,4.2,116,78.99,63.722,68.3622,6.15158,75.4178
G.D. Vajra,Red wine,Barolo,Italy,Barolo Ravera,2015,4.2,110,80,59.2686,79.4318,0.257813,79.641
Merry Edwards,Red wine,Russian River Valley,United States,Meredith Estate Pinot Noir,2009,4.2,105,79.99,42.6783,21.2491,7.66158,50.6056
1849 Wine Company,Red wine,Napa Valley,United States,Declaration,2014,4.2,98,79.99,80,48.4081,5.75862,44.9138
Citation,Red wine,Oregon,United States,Pinot Noir,2005,4.2,98,80,23.9257,20.1532,5.04908,59.5821
Betz Family Winery,Red wine,Columbia Valley,United States,Père de Famille,2013,4.2,98,78.99,62.7964,60.3998,3.63393,61.9533
Amapola Creek,Red wine,Sonoma Valley,United States,Cabernet Sauvignon,2015,4.2,98,73.95,80,53.0379,0,42.2531
Donelan,Red wine,Sonoma County,United States,Two Brothers Pinot Noir,2013,4.2,94,74.99,35.8885,18.1662,0,51.7229
Darioush,Red wine,Russian River Valley,United States,Pinot Noir (Signature),2017,4.2,92,74,43.42,17.2102,3.20248,50.6455
G.D. Vajra,Red wine,Barolo,Italy,Barolo Coste di Rose,2016,4.2,88,70,56.4925,67.3199,4.45474,71.1726
Castell'in Villa,Red wine,Chianti Classico,Italy,Riserva Chianti Classico,2013,4.2,79,74.99,44.3767,57.8508,8.40083,63.8186
Benevelli Piero,Red wine,Barolo,Italy,Ravera di Monforte Barolo,2013,4.2,77,74.99,61.1034,76.1992,1.70819,80
Ca'Viola,Red wine,Barbera d'Alba,Italy,Bric du Luv Barbera d'Alba,2016,4.2,76,76.99,53.1432,19.2563,4.34378,61.0253
Melville,Red wine,Sta. Rita Hills,United States,Sandy's Pinot Noir,2016,4.2,75,74.99,38.6355,16.3606,0,48.5909
PAITIN,Red wine,Barbaresco,Italy,Barbaresco Sori' Paitin,2016,4.2,75,79.99,61.548,66.0259,2.48666,80
Fratelli Revello,Red wine,Barolo,Italy,Barolo Conca,2016,4.2,72,73.99,59.8673,75.4763,3.31869,79.9111
Keenan,Red wine,Napa Valley,United States,Napa Valley Cabernet Sauvignon,2017,4.2,69,74.99,80,53.9367,0.49701,50.3285
Marimar Estate,Red wine,Russian River Valley,United States,Don Miguel Vineyard Cristina Pinot Noir,2013,4.2,66,70.99,42.4237,17.4507,7.49459,53.4199
Monteci,Red wine,Amarone della Valpolicella,Italy,Costa delle Corone Amarone,2008,4.2,61,78,80,22.9591,39.1,19.0341
The Eyrie Vineyards,Red wine,Dundee Hills,United States,Original Vines Pinot Noir,2015,4.2,55,76.49,17.7162,19.1472,0,63.7572
Textbook,Red wine,Oakville,United States,Mise en place Cabernet Sauvignon,2018,4.2,55,71.39,74.8216,45.5929,5.07245,45.301
Storybook Mountain,Red wine,Napa Valley,United States,Zinfandel Eastern Exposures,2013,4.2,52,74.99,80,23.0466,20.2048,8.11096
Cà Brusà,Red wine,Barolo,Italy,Vigna d'Vai Barolo,2006,4.2,49,77,65.379,75.6601,0,78.1085
Andrew Will,Red wine,Red Mountain,United States,Ciel du Cheval Vineyard Red,2015,4.2,44,79.99,63.7628,52.8849,1.20556,63.3944
Whitcraft,Red wine,Santa Barbara County,United States,Pinot Noir,2017,4.2,43,70,37.2552,15.9968,10.8825,52.7714
Tenuta di Aglaea,Red wine,Etna,Italy,Annacare,2012,4.2,43,78.99,80,46.5038,26.1527,28.4199
DeSante,Red wine,Oakville,United States,Cabernet Sauvignon,2013,4.2,42,76.49,80,46.6503,3.50544,48.7095
Fratelli Revello,Red wine,Barolo,Italy,Barolo Cerretta,2015,4.2,41,79.99,54.7354,80,0,75.0648
Cortonesi (La Mannella),Red wine,Brunello di Montalcino,Italy,Poggiarelli Brunello di Montalcino,2015,4.2,40,78.99,48.7115,53.7205,3.40764,60.8372
Purple Hands,Red wine,Dundee Hills,United States,Latchkey Vineyard Pinot Noir,2017,4.2,40,73.99,26.716,22.7883,4.24741,57.9332
Antonio Caggiano,Red wine,Taurasi,Italy,Vigna Macchia dei Goti Taurasi,2016,4.2,40,75.99,79.9859,48.9214,21.2494,32.2628
Eberle,Red wine,Paso Robles,United States,Estate Cabernet Sauvignon,2016,4.2,39,74.99,80,46.8753,8.65735,42.84
Optima,Red wine,Alexander Valley,United States,Cabernet Sauvignon,2015,4.2,39,76.49,80,47.8871,2.69403,40.7923
Tasca d'Almerita,Red wine,Sicilia,Italy,Cabernet Sauvignon Regaleali,2016,4.2,38,79.99,80,38.7399,25.1611,24.1684
Montevetrano,Red wine,Colli di Salerno,Italy,Colli di Salerno Rosso,2017,4.2,37,76.99,78.8349,42.9305,23.2603,26.5966
Once & Future,Red wine,Los Carneros,United States,Sangiacomo Vineyard Merlot,2016,4.2,36,74.99,67.1033,20.4339,20.936,16.155
Crasà - SRC,Red wine,Etna,Italy,Alberello,2018,4.2,34,75,80,45.9426,22.5259,31.0452
Scopetone,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2014,4.2,34,78.95,34.5897,54.6368,0,67.2656
Castello di Verduno,Red wine,Barbaresco,Italy,Rabajà Barbaresco,2004,4.2,33,79.97,60.3832,68.4449,9.30987,80
Buon Tempo,Red wine,Brunello di Montalcino,Italy,p.56 Brunello di Montalcino,2013,4.2,33,71.95,45.5901,57.532,0,54.3328
Poggio Scalette,Red wine,Alta Valle della Greve,Italy,Capogatto Alta Valle della Greve,2015,4.2,32,74.99,46.0785,38.3297,7.57683,48.9074
Bongiovanni,Red wine,Barolo,Italy,Barolo Pernanno,2015,4.2,31,79.99,61.7441,79.1097,0.0885875,80
Capiaux Cellars,Red wine,Santa Lucia Highlands,United States,Pisoni Vineyard Pinot Noir,2016,4.2,29,78.99,52.4117,24.8055,4.91937,50.5969
Giovanni Rosso,Red wine,Barolo,Italy,Barolo La Serra,2016,4.2,27,76.99,60.2797,76.13,6.51426,80
Ancien,Red wine,Sonoma Mountain,United States,Red Dog Vineyard Pinot Noir,2014,4.2,26,74.99,42.9369,19.0248,1.54313,58.6725
Cameron,Red wine,Dundee Hills,United States,Abbey Ridge Pinot Noir,2017,4.2,26,76.45,19.9196,18.552,9.63785,63.9557
Louis M. Martini,Red wine,Alexander Valley,United States,Alexander Valley Cabernet Sauvignon,2014,4.1,1460,79.95,80,53.0241,8.15612,41.0552
Giovanni Rosso,Red wine,Barolo,Italy,Barolo del Comune di Serralunga d'Alba,2013,4.1,843,73.99,60.3584,75.3757,2.73041,80
Batasiolo,Red wine,Barolo,Italy,Barolo,2016,4.1,764,74.99,60.8633,74.024,0.255932,80
Banfi,Red wine,Toscana,Italy,SummuS,2015,4.1,583,78.99,48.8025,40.2592,7.7812,43.8993
Banfi,Red wine,Toscana,Italy,SummuS,2013,4.1,548,74.95,48.8025,40.2592,7.7812,43.8993
Dominus,Red wine,Napa Valley,United States,Napanook,2016,4.1,492,74.41,80,52.7761,8.47778,60.7586
Luigi Einaudi,Red wine,Barolo,Italy,Terlo Barolo,2011,4.1,382,75.99,62.9848,74.8074,4.25074,80
Le Piane,Red wine,Boca,Italy,Boca,2015,4.1,326,75,59.9371,42.9482,11.8592,32.6463
Whitehall Lane,Red wine,Napa Valley,United States,Cabernet Sauvignon,2016,4.1,299,-1,80,47.5287,3.97965,50.3963
Col d'Orcia,Red wine,Sant'Antimo,Italy,Cabernet Sant'Antimo Olmaia,2013,4.1,288,79.99,49.6794,45.74,8.04597,43.8029
Le Potazzine,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino Le Potazzine,2014,4.1,282,76.49,42.8161,54.5497,0.0148975,62.33
Ruffino,Red wine,Brunello di Montalcino,Italy,Tenuta Greppone Mazzi Brunello di Montalcino,2014,4.1,242,71.39,42.4177,50.9829,3.33549,58.9829
Cascina Chicco,Red wine,Barolo,Italy,Barolo Rocche di Castelletto,2015,4.1,230,74.99,58.5701,71.4725,4.05789,77.8996
Siro Pacenti,Red wine,Brunello di Montalcino,Italy,Vecchie Vigne Brunello di Montalcino,2013,4.1,181,79.99,44.1363,58.461,6.27013,63.475
Mauro Veglio,Red wine,Barolo,Italy,Barolo Arborina,2015,4.1,157,74.99,58.7613,75.263,0,80
Trefethen,Red wine,Oak Knoll District,United States,Cabernet Sauvignon,2008,4.1,153,71.39,80,50.8507,2.86064,51.2301
Sterling Vineyards,Red wine,Napa Valley,United States,Platinum Cabernet Sauvignon,2015,4.1,150,79.99,80,51.8796,12.4445,54.1452
Montevertine,Red wine,Toscana,Italy,Toscana Red,2017,4.1,143,75.99,42.3509,41.3757,2.89361,50.5265
Elio Sandri,Red wine,Barolo,Italy,Perno Barolo Riserva,2012,4.1,142,70,59.9856,76.2231,8.55082,78.3931
Wild Horse,Red wine,Santa Maria Valley,United States,Cheval Sauvage Pinot Noir,2013,4.1,131,72.99,39.7754,16.3662,7.41887,48.0022
Produttori del Barbaresco,Red wine,Barbaresco,Italy,Barbaresco Riserva Montefico,2015,4.1,127,76.99,60.8729,71.6171,5.05209,80
Castello di Verduno,Red wine,Barbaresco,Italy,Rabajà Barbaresco,2008,4.1,119,79.97,60.3832,68.4449,9.30987,80
Sassetti Livio,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2014,4.1,113,72.15,44.0922,54.8185,3.75444,61.9704
Leviathan,Red wine,California,United States,Red,2015,4.1,108,72.99,80,49.532,5.95016,60.0687
Mauro Veglio,Red wine,Barolo,Italy,Barolo Castelletto,2015,4.1,105,74.99,60.7643,77.2108,0,80
Martoccia,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2014,4.1,104,72.95,45.4225,54.6278,5.04112,59.1658
Paolo Scavino,Red wine,Barolo,Italy,Barolo Monvigliero,2014,4.1,95,78.99,60.2697,70.216,2.75968,80
Gaja,Red wine,Bolgheri,Italy,Ca'Marcanda Magari,2018,4.1,94,77.99,59.2408,63.2675,6.44448,51.8711
Giuseppe Lonardi,Red wine,Amarone della Valpolicella Classico,Italy,Amarone della Valpolicella Classico,2015,4.1,92,79.99,80,20.9043,44.2405,17.548
Sottimano,Red wine,Barbaresco,Italy,Cottá Barbaresco,2016,4.1,91,74.89,58.2064,67.7963,4.24476,80
Grgich Hills,Red wine,Napa Valley,United States,Merlot,2006,4.1,88,75,64.6931,21.2945,12.1875,14.1306
Damilano,Red wine,Barolo,Italy,Barolo Cerequio,2012,4.1,84,78.99,62.2882,73.2326,3.29374,80
BelColle,Red wine,Barolo,Italy,Monvigliero Barolo,2010,4.1,84,79.99,57.5152,74.7406,2.42762,78.351
Passopisciaro,Red wine,Terre Siciliane,Italy,Contrada Guardiola,2017,4.1,83,77.66,72.7442,45.1555,18.5778,35.9945
Malvirà,Red wine,Langhe,Italy,San Guglielmo Langhe,2010,4.1,79,75,60.3406,40.2287,12.2778,28.5086
Ramey,Red wine,Russian River Valley,United States,Russian River Valley Pinot Noir,2014,4.1,78,70.99,43.9009,20.566,3.33281,53.2872
Giacosa Fratelli,Red wine,Barbaresco,Italy,Barbaresco Basarin Vigna Gianmaté,2015,4.1,75,71.99,64.1236,70.2067,5.80757,79.0773
Paolo Scavino,Red wine,Barolo,Italy,Barolo Monvigliero,2015,4.1,73,70,60.2697,70.216,2.75968,80
Long Meadow Ranch,Red wine,Napa Valley,United States,Cabernet Sauvignon,2015,4.1,72,79.99,80,48.8873,3.52651,48.9788
Mauro Veglio,Red wine,Barolo,Italy,Barolo Arborina,2016,4.1,71,74.99,58.7613,75.263,0,80
Schiavenza,Red wine,Barolo,Italy,Barolo Prapò,2015,4.1,66,75.99,58.9776,76.9604,7.68334,79.6051
Goldschmidt Vineyards,Red wine,Alexander Valley,United States,Yoeman Vineyard Cabernet Sauvignon,2013,4.1,64,73.99,80,50.6552,0.67205,40.2595
Calera,Red wine,Mount Harlan,United States,Pinot Noir Mills Vineyard,2014,4.1,64,74.99,40.9279,21.5553,5.27975,54.0746
Frank Cornelissen,Red wine,Terre Siciliane,Italy,MunJebel VA (Vigne Alte) Rosso,2017,4.1,63,79.95,72.1236,45.6063,16.2935,39.2833
Bartoli Giusti,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.1,62,70.99,39.218,56.4737,0,60.7429
Castellani Michele,Red wine,Amarone della Valpolicella Classico,Italy,Collezione Ca' Del Pipa Colle Cristi Amarone della Valpolicella Classico,2015,4.1,62,71.99,80,18.7104,43.5684,17.6596
Hirsch Vineyards,Red wine,Sonoma Coast,United States,Raschen Ridge Pinot Noir,2016,4.1,60,76.49,40.3387,24.7636,0,57.8853
Società Agricola Fay,Red wine,Valtellina Superiore,Italy,Sandro Fay Carterìa Valtellina Superiore,2015,4.1,54,78.99,51.581,68.7005,8.48585,67.4064
Emblem,Red wine,Napa Valley,United States,Oso Vineyard Cabernet Sauvignon,2012,4.1,51,79.95,80,53.4476,5.64735,52.0412
Virna,Red wine,Barolo,Italy,Sarmassa Barolo,2013,4.1,51,79.99,59.6167,74.5051,8.21399,76.9884
Dirupi,Red wine,Valtellina Superiore,Italy,Nebbiolo Grumello Valtellina Superiore Riserva,2015,4.1,50,73.99,59.9328,73.1775,0,70.5052
Cà Brusà,Red wine,Barolo,Italy,Vigna d'Vai Barolo,2008,4.1,50,74.99,65.379,75.6601,0,78.1085
Andrew Will,Red wine,Yakima Valley,United States,Two Blondes Vineyard Red,2014,4.1,48,79.99,64.7485,55.3013,3.50754,62.4802
Madonna Nera,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2015,4.1,47,74.99,44.1216,55.6495,2.68309,59.5499
Acumen,Red wine,Napa Valley,United States,Mountainside Cabernet Sauvignon,2018,4.1,47,77.99,80,51.6551,3.85139,51.4352
Ken Wright Cellars,Red wine,Yamhill-Carlton District,United States,Shea Vineyard Pinot Noir,2018,4.1,47,79.99,21.85,18.3666,6.22401,61.1553
Avignonesi,Red wine,Vino Nobile di Montepulciano,Italy,Poggetto di Sopra Nobile di Montepulciano,2015,4.1,47,79.99,49.4901,59.0248,10.4702,65.5348
Castello di Monsanto,Red wine,Chianti Classico,Italy,Chianti Classico Riserva Il Poggio,2015,4.1,40,77.99,44.2398,58.949,7.54016,63.3145
Priest Ranch,Red wine,Napa Valley,United States,Double Barrel,2016,4.1,37,75,80,53.5324,0,59.7993
Big Basin,Red wine,Monterey County,United States,Coastview Vineyard Pinot Noir,2013,4.1,37,74.99,45.4009,19.1223,9.33049,54.6889
Beekeeper,Red wine,Rockpile,United States,Secret Stones Zinfandel,2016,4.1,36,73.95,80,37.9058,24.5365,17.7615
Xtant,Red wine,Napa Valley,United States,Red,2013,4.1,35,70.99,80,46.8759,6.6875,58.6669
Stanton Vineyards,Red wine,Oakville,United States,Cabernet Sauvignon,2015,4.1,35,79.99,80,52.9384,0.205555,52.1431
Cascina delle Rose,Red wine,Barbaresco,Italy,Barbaresco Rio Sordo,2013,4.1,34,71.99,58.7689,70.7434,0,80
Poderi Colla,Red wine,Barolo,Italy,Dardi Le Rosé Bussia Barolo,2016,4.1,33,76.59,60.5714,77.2884,5.37889,80
Robert Biale Vineyards,Red wine,Sonoma County,United States,Basic Black,2017,4.1,30,78.99,80,50.2557,2.98334,60.76
Lavinea,Red wine,Eola-Amity Hills,United States,Elton Vineyard Pinot Noir,2016,4.1,29,74.99,30.2619,25.9799,0.42582,59.6896
Foxen,Red wine,Santa Ynez Valley,United States,Williamson-Doré Vineyard Syrah,2016,4.1,27,74.99,77.2794,48.6917,15.1236,42.8316
Albino Rocca,Red wine,Barbaresco,Italy,Barbaresco Ovello Vigna Loreto,2017,4.1,25,72.99,60.7301,63.8088,3.00588,79.903
Renieri,Red wine,Brunello di Montalcino,Italy,Brunello di Montalcino,2016,4.1,25,74.95,46.6241,52.5371,0.442095,62.4453
Tenuta di Nozzole,Red wine,Chianti Classico,Italy,La Forra Chianti Classico Riserva,2013,4,832,75.99,46.7615,56.0274,2.92349,60.4644
Schug,Red wine,Los Carneros,United States,Pinot Noir Carneros,2016,4,505,78.99,38.942,17.782,4.79984,52.7399
Rodney Strong,Red wine,Alexander Valley,United States,Alexander's Crown Cabernet Sauvignon,2015,4,314,72.95,80,51.621,2.42538,40.4292
Marchesi di Barolo,Red wine,Barolo,Italy,Barolo del Comune di Barolo,2014,4,302,70.99,60.923,74.0025,1.4321,80
Luigi Einaudi,Red wine,Barolo,Italy,Barolo Ludo,2015,4,266,75.99,63.0158,72.9135,0,79.3943
La Spinetta,Red wine,Monferrato,Italy,Pin,2014,4,228,77.99,61.7813,42.5635,15.4146,27.066
Fonterutoli,Red wine,Toscana,Italy,Mix 36,2013,4,214,74,45.5942,39.8228,5.5391,45.7279
Castello di Monsanto,Red wine,Chianti Classico,Italy,Chianti Classico Riserva Il Poggio,2013,4,179,73.99,44.2398,58.949,7.54016,63.3145
Castell'in Villa,Red wine,Chianti Classico,Italy,Riserva Chianti Classico,2010,4,169,79.97,44.3767,57.8508,8.40083,63.8186
