winery,wine_type,city,country,wine_name,year,overall_rating,overall_rating_count,price,light_bold,smooth_tannic,dry_sweet,soft_acidic
Domaine de la Mordorée,Red wine,Châteauneuf-du-Pape,France,La Reine Des Bois Châteauneuf-du-Pape,2018,4.4,48,80,80,40.257,7.65412,43.0042
Château de La Maltroye,Red wine,Chassagne-Montrachet Premier Cru,France,Chassagne-Montrachet 1er Cru 'Clos du Chateau' (Monopole),2017,4.4,37,72.99,31.0532,25.3645,0,64.6167
Domaine Tempier,Red wine,Bandol,France,Bandol Cuvée La Migoua,2018,4.4,33,80,-1,-1,-1,-1
Vincent & Sophie Morey,Red wine,Santenay 1er Cru 'Les Gravières',France,Santenay 1er Cru 'Les Gravières',2017,4.4,28,70.99,26.2641,20.5802,0,52.3314
La Rioja Alta,Red wine,Rioja,Spain,Viña Ardanza Reserva,2009,4.3,9603,77.99,60.2321,55.9877,5.837,58.3409
Muga,Red wine,Rioja,Spain,Prado Enea Gran Reserva,2011,4.3,2448,75,62.2785,59.7814,7.25122,60.0289
Domaine du Vieux Télégraphe,Red wine,Châteauneuf-du-Pape,France,Châteauneuf-du-Pape (La Crau),2014,4.3,1416,79.99,80,37.8645,5.93597,42.7491
Château Fleur Cardinale,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.3,941,74.99,72.6786,54.1946,10.3748,49.796
Château Haut-Marbuzet,Red wine,Saint-Estèphe,France,Saint-Estèphe,2015,4.3,874,71.39,71.3106,70.4247,5.06923,70.6665
Garmón,Red wine,Ribera del Duero,Spain,Ribera del Duero,2016,4.3,861,78.99,63.5705,56.0745,15.1354,55.8922
Teso La Monja,Red wine,Toro,Spain,Victorino,2015,4.3,754,73.99,75.2889,50.4298,11.1574,33.9849
Château Malescot St. Exupery,Red wine,Margaux,France,Margaux (Grand Cru Classé),2014,4.3,699,77.66,60.5054,60.0792,5.19272,70.8963
Mouchão,Red wine,Alentejano,Portugal,Tinto,2013,4.3,607,72.99,72.7623,44.6053,11.451,41.9938
Zuccardi,Red wine,Paraje Altamira,Argentina,Aluvional Altamira,2014,4.3,562,79.99,64.9144,33.5892,16.3851,36.785
Benjamin Leroux,Red wine,Gevrey-Chambertin,France,Gevrey-Chambertin,2017,4.3,441,77.66,37.9723,30.1732,8.44904,69.3426
Michel Juillot,Red wine,Mercurey Premier Cru,France,Mercurey Premier Cru 'Clos Tonnerre',2018,4.3,437,74.99,17.0815,17.5941,7.95951,60.1097
E. Guigal,Red wine,Hermitage,France,Hermitage,2016,4.3,353,70.99,80,65.6242,3.33525,51.8469
Château Fonplégade,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2016,4.3,287,70.99,72.9138,52.6862,3.05286,49.9888
Teso La Monja,Red wine,Toro,Spain,Victorino,2017,4.3,253,71.99,75.2889,50.4298,11.1574,33.9849
Francois Villard,Red wine,Côte-Rôtie,France,Côte-Rôtie Le Gallet Blanc,2014,4.3,223,77.99,73.1471,65.8404,2.46941,61.0671
Château Bellefont-Belcier,Red wine,Saint-Émilion Grand Cru,France,Saint-Émilion Grand Cru (Grand Cru Classé),2015,4.3,208,70.99,70.8755,50.4074,10.1547,50.3534
